bond_ticker,equity_ticker,comp_name
LXP,LXP,Lexington Realty Trust Common S
WRE,WRE,Washington Real Estate Investme
CFR,CFR,Cullen/Frost Bankers, Inc. Comm
SCCO,SCCO,Southern Copper Corporation Com
CRS,CRS,Carpenter Technology Corporatio
CLGX,CLGX,CoreLogic, Inc. Common Stock
EOG,EOG,EOG Resources, Inc. Common Stoc
PH,PH,Parker-Hannifin Corporation Com
SPG,SPG,Simon Property Group, Inc. Comm
HVB,HVB,Hudson Valley Holding Corp. Com
PBI,PBI,Pitney Bowes Inc. Common Stock
OI,OI,Owens-Illinois, Inc. Common Sto
CINF,CINF,Cincinnati Financial Corporatio
RAI,RAI,Reynolds American Inc Common St
SPOK,SPOK,Spok Holdings, Inc.
DOV,DOV,Dover Corporation Common Stock
HON,HON,Honeywell International Inc. Co
DRE,DRE,Duke Realty Corporation Common 
NE,NE,Noble Corporation Ordinary Shar
SWK,SWK,Stanley Black & Decker, Inc. Co
WRN,WRN,Western Copper and Gold Corpora
DDR,DDR,DDR Corp. Common Stock
OTTR,OTTR,Otter Tail Corporation
NWL,NWL,Newell Brands Inc. Common Stock
HAS,HAS,Hasbro, Inc.
WTR,WTR,Aqua America, Inc. Common Stock
MBFI,MBFI,MB Financial Inc.
AM,AM,Antero Midstream Partners LP Co
NEM,NEM,Newmont Mining Corporation
PLXS,PLXS,Plexus Corp.
PNM,PNM,PNM Resources, Inc. (Holding Co
CART,CART,Carolina Trust BancShares, Inc.
MTG,MTG,MGIC Investment Corporation Com
SYCRF,SYCRF,SYNCORA HOLDINGS
GSK,GSK,GlaxoSmithKline PLC Common Stoc
OKE,OKE,ONEOK, Inc. Common Stock
AFL,AFL,AFLAC Incorporated Common Stock
NRG,NRG,NRG Energy, Inc. Common Stock
HES,HES,Hess Corporation Common Stock
VFC,VFC,V.F. Corporation Common Stock
GXP,GXP,Great Plains Energy Incorporate
CS,CS,Credit Suisse Group American De
MUR,MUR,Murphy Oil Corporation Common S
FBOP,FBOP,AUGUSTA INDUSTRIES
PNW,PNW,Pinnacle West Capital Corporati
ENH,ENH,Endurance Specialty Holdings Lt
PSX,PSX,Phillips 66 Common Stock
CM,CM,Canadian Imperial Bank of Comme
AVP,AVP,Avon Products, Inc. Common Stoc
AJRD,AJRD,Aerojet Rocketdyne Holdings, In
NIHCTR,NIHC,NA
WRCARP,WRCA,NA
PLA,P,NA
CRHID,CRH,NA
PRMSTH,PRMS,NA
DUDRDP,DUDR,NA
TENGEO,TENG,NA
ESVNQ,ESV,NA
RNK,R,NA
BANPIN,BANP,NA
TXUEUR,TXUE,NA
BBLTB,BBL,NA
SOLBBB,SOLB,NA
ENAPCL,ENAP,NA
LTVCQ,LTV,NA
CALNOR,CALN,NA
SEVFP,SEV,NA
RABOBK,RABO,NA
TAYLST,TAYL,NA
ALTMUT,ALTM,NA
ABH,A,NA
BAYNGR,BAYN,NA
RIOLN,RIO,NA
SCJOHN,SCJO,NA
GFIHQ,GFI,NA
PAXRV,PAX,NA
AIRPT,AIR,NA
NSMTB,NSM,NA
UPX,U,NA
CRUISE,CRUI,NA
EGLS,EG,NA
TABERN,TABE,NA
TRBR,TR,NA
LLAKES,LLAK,NA
BCHINA,BCHI,NA
NWDEVL,NWDE,NA
CORIOL,CORI,NA
DOSMFG,DOSM,NA
JEMELT,JEME,NA
NORBOR,NORB,NA
ORMTIT,ORMT,NA
DELL,DE,NA
BMAAR,BMA,NA
ACTRET,ACTR,NA
INSLQ,INS,NA
CMED,CM,NA
TMENRU,TMEN,NA
SUPERC,SUPE,NA
SIGFIN,SIGF,NA
CMHI,CM,NA
OCR,O,NA
NMG,N,NA
BUTTE,BUT,NA
HALES,HAL,NA
BASGR,BAS,NA
BRILL,BRI,NA
ENERGY,ENER,NA
GYLDQ,GYL,NA
ALFARU,ALFA,NA
ORIONC,ORIO,NA
OGLETH,OGLE,NA
WERNER,WERN,NA
DAIGR,DAI,NA
WSFIN,WSF,NA
AMIIQ,AMI,NA
MVZAVC,MVZA,NA
HOLTGP,HOLT,NA
ALGXQ,ALG,NA
CHSWQ,CHS,NA
GFREHL,GFRE,NA
BOYD,BO,NA
PTIMPE,PTIM,NA
ADEFLT,ADEF,NA
UU,NA,NA
TOMSFD,TOMS,NA
IROGAS,IROG,NA
SUMMER,SUMM,NA
YORFUN,YORF,NA
DOBIE,DOB,NA
CUDDY,CUD,NA
STEEL,STE,NA
KCTINT,KCTI,NA
ALADDI,ALAD,NA
CONSIN,CONS,NA
SIMCAL,SIMC,NA
CNB,C,NA
AXSBIN,AXSB,NA
UNMEHO,UNME,NA
SVSSF,SVS,NA
WSPT,WS,NA
MTVD,MT,NA
NTY,N,NA
AMEREE,AMER,NA
TAKFUJ,TAKF,NA
FCAIM,FCA,NA
ECGOQ,ECG,NA
GAMMM,GAM,NA
DESAIN,DESA,NA
AHNA,AH,NA
DVW,D,NA
ARCHIB,ARCH,NA
PLAIN,PLA,NA
IRHL,IR,NA
CLARKM,CLAR,NA
VRDO,VR,NA
STGC,ST,NA
BESTEL,BEST,NA
IWCR,IW,NA
GLOMAN,GLOM,NA
MKSP,MK,NA
FIBRA,FIB,NA
TAQAUH,TAQA,NA
FMCH,FM,NA
PROMBK,PROM,NA
WESINT,WESI,NA
IION,II,NA
TELVIS,TELV,NA
OLDDOM,OLDD,NA
REVP,RE,NA
WDEQ,WD,NA
KFN,K,NA
CHOGEN,CHOG,NA
JEF,J,NA
BBALL,BBA,NA
STSP,ST,NA
BECPTT,BECP,NA
FLATHO,FLAT,NA
PRELUD,PREL,NA
TOTEM,TOT,NA
ELWOOD,ELWO,NA
AMPX,AM,NA
BAYAN,BAY,NA
ANGSJ,ANG,NA
BULOPE,BULO,NA
SWIRE,SWI,NA
TCT,T,NA
ATCOA,ATC,NA
STEI,ST,NA
SEP,SEP,Spectra Energy Partners, LP Com
CCI,CCI,Crown Castle International Corp
HLX,HLX,Helix Energy Solutions Group, I
SIGI,SIGI,Selective Insurance Group, Inc.
O,O,Realty Income Corporation Commo
NBR,NBR,Nabors Industries Ltd.
PSON,PSON,PETROSONIC ENERGY
SEE,SEE,Sealed Air Corporation Common S
MMC,MMC,Marsh & McLennan Companies, Inc
HUM,HUM,Humana Inc. Common Stock
CKH,CKH,SEACOR Holdings Inc. Common Sto
MMP,MMP,Magellan Midstream Partners L.P
MATX,MATX,Matson, Inc. Common Stock
CIT,CIT,CIT Group Inc (DEL) Common Stoc
OA,OA,Orbital ATK, Inc. Common Stock
RNR,RNR,RenaissanceRe Holdings Ltd. Com
DO,DO,Diamond Offshore Drilling, Inc.
NYCB,NYCB,New York Community Bancorp, Inc
CQP,CQP,Cheniere Energy Partners, LP Ch
ITC,ITC,ITC Holdings Corp. Common Stock
HCN,HCN,Welltower Inc. Common Stock
DFS,DFS,Discover Financial Services Com
WBA,WBA,Walgreens Boots Alliance, Inc.
TJX,TJX,TJX Companies, Inc. (The) Commo
SWC,SWC,Stillwater Mining Company Commo
FRN,FRN,Guggenheim Frontier Markets ETF
UHS,UHS,Universal Health Services, Inc.
ACGL,ACGL,Arch Capital Group Ltd.
WU,WU,Western Union Company (The) Com
AGO,AGO,Assured Guaranty Ltd. Common St
BG,BG,Bunge Limited Bunge Limited
EQC,EQC,Equity Commonwealth Common Shar
MON,MON,Monsanto Company Common Stock
OC,OC,Owens Corning Inc Common Stock 
DSL,DSL,DoubleLine Income Solutions Fun
AIZ,AIZ,Assurant, Inc. Common Stock
FMBI,FMBI,First Midwest Bancorp, Inc.
BMS,BMS,Bemis Company, Inc. Common Stoc
TE,TE,TECO Energy, Inc.
BSX,BSX,Boston Scientific Corporation C
LII,LII,Lennox International, Inc. Comm
BMO,BMO,Bank Of Montreal Common Stock
L,L,Loews Corporation Common Stock
JBLU,JBLU,JetBlue Airways Corporation
MSFT,MSFT,Microsoft Corporation
XLNX,XLNX,Xilinx, Inc.
PNX,PNX,Phoenix Companies, Inc. (The)
COF,COF,Capital One Financial Corporati
CNHI,CNHI,CNH Industrial N.V. Common Shar
HCP,HCP,HCP, Inc. Common Stock
NBN,NBN,Northeast Bancorp
EE,EE,El Paso Electric Company Common
ADBE,ADBE,Adobe Systems Incorporated
SNA,SNA,Snap-On Incorporated Common Sto
SCHW,SCHW,Charles Schwab Corporation (The
SNV,SNV,Synovus Financial Corp. Common 
DRI,DRI,Darden Restaurants, Inc. Common
BGC,BGC,General Cable Corporation Commo
GDPM,GDPM,GOODRICH PETROLEUM COM USD0.20
CBZ,CBZ,CBIZ, Inc. Common Stock
ATLC,ATLC,Atlanticus Holdings Corporation
CNL,CNL,Cleco Corporation
ORA,ORA,Ormat Technologies, Inc. Common
TEVA,TEVA,Teva Pharmaceutical Industries 
NBTB,NBTB,NBT Bancorp Inc.
VRS,VRS,Verso Corporation Common Stock
H,H,Hyatt Hotels Corporation Class 
AAP,AAP,Advance Auto Parts Inc Advance 
AVB,AVB,AvalonBay Communities, Inc. Com
KWKA,KWKA,Quicksilver Resources Inc
CBCO,CBCO,COASTAL BANKING CO INC
MESA,ME,NA
INDALX,INDA,NA
DCP,D,NA
RCICN,RCI,NA
BAMACN,BAMA,NA
FLTW,FL,NA
FUGFAM,FUGF,NA
EEPPME,EEPP,NA
PROPEX,PROP,NA
BCOBMG,BCOB,NA
EIRLES,EIRL,NA
PUEBLO,PUEB,NA
PANCAN,PANC,NA
ELEBRA,ELEB,NA
SCHNEI,SCHN,NA
IDMC,ID,NA
RYOMCN,RYOM,NA
AALLN,AAL,NA
URBIMM,URBI,NA
CFN,C,NA
GOLLBZ,GOLL,NA
STRATS,STRA,NA
KGGRGE,KGGR,NA
ROCGEL,ROCG,NA
HOMEX,HOM,NA
INNMTN,INNM,NA
TILES,TIL,NA
KZL,K,NA
PHIPWR,PHIP,NA
BRAUIJ,BRAU,NA
MAAXCN,MAAX,NA
TENALA,TENA,NA
WPLAU,WPL,NA
GEOBMM,GEOB,NA
DCCDEV,DCCD,NA
INDEP,IND,NA
UNITOW,UNIT,NA
RADHOL,RADH,NA
BPCEGP,BPCE,NA
MALNTZ,MALN,NA
KUEHNE,KUEH,NA
ALAGAS,ALAG,NA
MQGAU,MQG,NA
BANVOR,BANV,NA
TSCOLN,TSCO,NA
HILTON,HILT,NA
WATERF,WATE,NA
GULFNG,GULF,NA
EMIBNC,EMIB,NA
PMUL,PM,NA
BBDBCN,BBDB,NA
PENNAT,PENN,NA
OHANA,OHA,NA
CNW,C,NA
DBKAZ,DBK,NA
TENVIR,TENV,NA
QUINCY,QUIN,NA
NWMLIC,NWML,NA
RAVWOD,RAVW,NA
STNTN,STN,NA
MILEHI,MILE,NA
DTEENE,DTEE,NA
SNTAND,SNTA,NA
ALLIBK,ALLI,NA
FSHCN,FSH,NA
LCORA,LCO,NA
JESRNC,JESR,NA
COLFIN,COLF,NA
HERALD,HERA,NA
ENER,EN,NA
OILCAS,OILC,NA
EATONM,EATO,NA
VRES,VR,NA
LMKL,LM,NA
FROGTO,FROG,NA
HPCOM,HPC,NA
MISSIP,MISS,NA
CBVS,CB,NA
ABEGET,ABEG,NA
ASIAAL,ASIA,NA
KBC,K,NA
KEENDV,KEEN,NA
FTBELV,FTBE,NA
VPHM,VP,NA
JNY,J,NA
IRWINL,IRWI,NA
ITAU,IT,NA
RFX,R,NA
XIDE,XI,NA
ALSLTD,ALSL,NA
CROCOG,CROC,NA
ARMYHW,ARMY,NA
SMINLN,SMIN,NA
PACLGF,PACL,NA
WISCHP,WISC,NA
BYLAN,BYL,NA
NBFA,NB,NA
KOREAT,KORE,NA
COLBUN,COLB,NA
ANVAU,ANV,NA
CCAPFG,CCAP,NA
PTTTB,PTT,NA
BCOLO,BCO,NA
MIDATL,MIDA,NA
RASGAS,RASG,NA
EUROFE,EURO,NA
DQE,D,NA
AEELA,AEE,NA
MARUB,MAR,NA
CGGFP,CGG,NA
SALISB,SALI,NA
TCKBCN,TCKB,NA
SKYLN,SKY,NA
TFLMI,TFL,NA
KKB,K,NA
MIZUHO,MIZU,NA
PAGON,PAG,NA
ROCKIE,ROCK,NA
ASATEC,ASAT,NA
FCE,F,NA
CBKIN,CBK,NA
KZOKZ,KZO,NA
ZURNVX,ZURN,NA
AURMIL,AURM,NA
MWFAM,MWF,NA
SUNHUN,SUNH,NA
METBC,MET,NA
SHNBK,SHN,NA
MUFG,MU,NA
SLG,SLG,SL Green Realty Corporation Com
GILD,GILD,Gilead Sciences, Inc.
CLX,CLX,Clorox Company (The) Common Sto
SXL,SXL,Sunoco Logistics Partners LP Co
VIP,VIP,VimpelCom Ltd.
QEP,QEP,QEP Resources, Inc. Common Stoc
NDAQ,NDAQ,Nasdaq, Inc.
OLN,OLN,Olin Corporation Common Stock
TLN,TLN,Talen Energy Corporation Common
TRN,TRN,Trinity Industries, Inc. Common
BLK,BLK,BlackRock, Inc. Common Stock
MPW,MPW,Medical Properties Trust, Inc. 
MAR,MAR,Marriott International
EV,EV,Eaton Vance Corporation Common 
OKS,OKS,ONEOK Partners, L.P. Common Sto
AWH,AWH,Allied World Assurance Company 
SYK,SYK,Stryker Corporation Common Stoc
SNH,SNH,Senior Housing Properties Trust
STZ,STZ,Constellation Brands, Inc. Comm
PX,PX,Praxair, Inc. Common Stock
BMRN,BMRN,BioMarin Pharmaceutical Inc.
JOY,JOY,Joy Global Inc. Common Stock
CSL,CSL,Carlisle Companies Incorporated
CTAS,CTAS,Cintas Corporation
EXPE,EXPE,Expedia, Inc.
IGT,IGT,International Game Technology O
MAA,MAA,Mid-America Apartment Communiti
LH,LH,Laboratory Corporation of Ameri
AVT,AVT,Avnet, Inc. Common Stock
TK,TK,Teekay Corporation Common Stock
MDC,MDC,M.D.C. Holdings, Inc. Common St
MXCHF,MXCHF,MEXICHEM SAB DE CV
HI,HI,Hillenbrand Inc Common Stock
ABC,ABC,AmerisourceBergen Corporation C
KIM,KIM,Kimco Realty Corporation Common
BTU,BTU,Peabody Energy Corporation
DISH,DISH,DISH Network Corporation
VR,VR,Validus Holdings, Ltd. Common S
KMPR,KMPR,Kemper Corporation
CCBG,CCBG,Capital City Bank Group
AN,AN,AutoNation, Inc. Common Stock
WLTW,WLTW,Willis Towers Watson Public Lim
RPM,RPM,RPM International Inc. Common S
BXP,BXP,Boston Properties, Inc. Common 
OMC,OMC,Omnicom Group Inc. Common Stock
CR,CR,Crane Company Common Stock
LXK,LXK,Lexmark International, Inc. Com
LNBB,LNBB,LNB Bancorp, Inc.
POT,POT,Potash Corporation of Saskatche
TRMK,TRMK,Trustmark Corporation
FRP,FRP,FairPoint Communications, Inc.
CVG,CVG,Convergys Corporation Common St
LEN,LEN,Lennar Corporation Class A Comm
SBCF,SBCF,Seacoast Banking Corporation of
PCLB,PCLB,PINNACLE BANCSHR INC
SKM,SKM,SK Telecom Co., Ltd. Common Sto
HBNC,HBNC,Horizon Bancorp (IN)
ABCB,ABCB,Ameris Bancorp
FNF,FNF,FNF Group of Fidelity National 
TXT,TXT,Textron Inc. Common Stock
CDE,CDE,Coeur Mining, Inc. Common Stock
RDC,RDC,Rowan Companies plc Class A Ord
IVC,IVC,Invacare Corporation Common Sto
PBCT,PBCT,People's United Financial, Inc.
JAH,JAH,Jarden Corporation
RS,RS,Reliance Steel & Aluminum Co. C
ESS,ESS,Essex Property Trust, Inc. Comm
AHR,A,NA
HROCK,HRO,NA
ABYSS,ABY,NA
SSTAR,SST,NA
MRFGBZ,MRFG,NA
NEWBE,NEW,NA
STERV,STE,NA
NORHI,NOR,NA
METRFN,METR,NA
BHIP,BH,NA
BLIA,BL,NA
KTZKZ,KTZ,NA
CQB,C,NA
SIDETU,SIDE,NA
EMORYU,EMOR,NA
PRNCTN,PRNC,NA
BANQUE,BANQ,NA
PHSTAT,PHST,NA
CCCON,CCC,NA
EQ,NA,NA
KOSEPW,KOSE,NA
EXPT,EX,NA
SOCARG,SOCA,NA
CHRSTN,CHRS,NA
DBSSP,DBS,NA
BNCHIL,BNCH,NA
OILINS,OILI,NA
MTNA,MT,NA
TATELN,TATE,NA
AMALKY,AMAL,NA
BFTH,BF,NA
FNCIM,FNC,NA
ELENOR,ELEN,NA
SYA,S,NA
GUARDN,GUAR,NA
LGFP,LG,NA
BGLBNP,BGLB,NA
EMBRBZ,EMBR,NA
TGNOAR,TGNO,NA
JBSSBZ,JBSS,NA
TEMIF,TEM,NA
GSCCOR,GSCC,NA
STESP,STE,NA
IIRSA,IIR,NA
SANFP,SAN,NA
CBASS,CBA,NA
BANBRA,BANB,NA
GRAPEV,GRAP,NA
VITROA,VITR,NA
HNDA,HN,NA
VEDLN,VED,NA
KERPRO,KERP,NA
GSPALO,GSPA,NA
LANISL,LANI,NA
ELEARG,ELEA,NA
BETHEL,BETH,NA
BVMFBZ,BVMF,NA
SEAFIN,SEAF,NA
CALBAP,CALB,NA
WINBAP,WINB,NA
ESLR,ES,NA
KNFP,KN,NA
SALVES,SALV,NA
MABLN,MAB,NA
SHNHAN,SHNH,NA
PDVSA,PDV,NA
BOIIN,BOI,NA
USIM,US,NA
FRAGR,FRA,NA
CASITA,CASI,NA
MCGAFB,MCGA,NA
BANORT,BANO,NA
PLNIJ,PLN,NA
SFD,S,NA
TOMARI,TOMA,NA
BNKEA,BNK,NA
MAGGBZ,MAGG,NA
ELECAR,ELEC,NA
PESAAR,PESA,NA
TRIBES,TRIB,NA
ARAPA,ARA,NA
SBSPBZ,SBSP,NA
ABBNVX,ABBN,NA
BCP,B,NA
PANAME,PANA,NA
MABEMX,MABE,NA
WLM,W,NA
GPBRU,GPB,NA
AGCGEN,AGCG,NA
GCMZAU,GCMZ,NA
BIMBOA,BIMB,NA
KWIPKK,KWIP,NA
REDSTN,REDS,NA
RUSB,RU,NA
PEFCO,PEF,NA
CARSLT,CARS,NA
CHB,C,NA
BLUCN,BLU,NA
CRNRST,CRNR,NA
KERNCH,KERN,NA
ENBCN,ENB,NA
RURAIL,RURA,NA
FAGEGA,FAGE,NA
BRFSBZ,BRFS,NA
BMEBMZ,BMEB,NA
GRWASH,GRWA,NA
MERLIO,MERL,NA
CGMC,CG,NA
CZRSBZ,CZRS,NA
CSNT,CS,NA
QGTS,QG,NA
BUFLO,BUF,NA
ODBR,OD,NA
SUMIBK,SUMI,NA
TRANAR,TRAN,NA
INVICT,INVI,NA
PLNEND,PLNE,NA
REALMX,REAL,NA
GPIXLX,GPIX,NA
RAIZBZ,RAIZ,NA
ISABR,ISA,NA
FTKNOX,FTKN,NA
NDB,N,NA
CHINLP,CHIN,NA
CALICH,CALI,NA
NBDCN,NBD,NA
FIRPAC,FIRP,NA
CALVRT,CALV,NA
MF,NA,NA
BILLVA,BILL,NA
NSGHLD,NSGH,NA
DEPFA,DEP,NA
HALLER,HALL,NA
HBHC,HBHC,Hancock Holding Company
INGR,INGR,Ingredion Incorporated Common S
VAL,VAL,Valspar Corporation (The) Commo
CSHB,CSHB,COMMUNITY SHORES BK
DLR,DLR,Digital Realty Trust, Inc. Comm
BDN,BDN,Brandywine Realty Trust Common 
RE,RE,Everest Re Group, Ltd. Common S
FULT,FULT,Fulton Financial Corporation
CPT,CPT,Camden Property Trust Common St
MCHP,MCHP,Microchip Technology Incorporat
GEF,GEF,Greif Inc. Class A Common Stock
FBC,FBC,Flagstar Bancorp, Inc. Common S
CRZO,CRZO,Carrizo Oil & Gas, Inc.
GDRZF,GDRZF,GOLD RESERVE INC
BR,BR,Broadridge Financial Solutions,
A,A,Agilent Technologies, Inc. Comm
BKH,BKH,Black Hills Corporation Common 
REG,REG,Regency Centers Corporation Com
SPGI,SPGI,S&P Global Inc. Common Stock
CIEN,CIEN,Ciena Corporation Common Stock
NRF,NRF,NorthStar Realty Finance Corp. 
VMI,VMI,Valmont Industries, Inc. Common
TXN,TXN,Texas Instruments Incorporated
CMC,CMC,Commercial Metals Company Commo
SBAC,SBAC,SBA Communications Corporation
ALR,ALR,Alere Inc. Common Stock
SQM,SQM,Sociedad Quimica y Minera S.A. 
NNN,NNN,National Retail Properties Comm
CNXT,CNXT,VanEck Vectors ChinaAMC SME-ChN
BBG,BBG,Bill Barrett Corporation Common
Y,Y,Alleghany Corporation Common St
CLI,CLI,Mack-Cali Realty Corporation Co
SF,SF,Stifel Financial Corporation Co
WOR,WOR,Worthington Industries, Inc. Co
YUM,YUM,Yum! Brands, Inc.
CA,CA,CA Inc.
PLD,PLD,ProLogis, Inc. Common Stock
DISCA,DISCA,Discovery Communications, Inc.
BX,BX,The Blackstone Group L.P. Commo
RJF,RJF,Raymond James Financial, Inc. C
RWT,RWT,Redwood Trust, Inc. Common Stoc
NUE,NUE,Nucor Corporation Common Stock
KOF,KOF,Coca Cola Femsa S.A.B. de C.V. 
BEN,BEN,Franklin Resources, Inc. Common
CSIQ,CSIQ,Canadian Solar Inc.
GHC,GHC,Graham Holdings Company Common 
AGN,AGN,Allergan plc Ordinary Shares
WCC,WCC,WESCO International, Inc. Commo
BPZR,BPZR,BPZ RES INC
DXMM,DXMM,DEX MEDIA INC COM NPV
ENDP,ENDP,Endo International plc
ZAZA,ZAZA,ZAZA ENERGY CORP COM USD0.01
ETFC,ETFC,E*TRADE Financial Corporation
LLL,LLL,L-3 Communications Holdings, In
NWE,NWE,NorthWestern Corporation Common
AKS,AKS,AK Steel Holding Corporation Co
IBKC,IBKC,IBERIABANK Corporation
HSC,HSC,Harsco Corporation Common Stock
PNK,PNK,Pinnacle Entertainment, Inc.
BIIB,BIIB,Biogen Inc.
BFCF,BFCF,BFC FIN CORP CL A #
NPBC,NPBC,National Penn Bancshares, Inc.
FMFP,FMFP,FIRST COMMUNITY FINL
STP,STP,SPDR MSCI Europe Materials UCIT
ESRX,ESRX,Express Scripts Holding Company
FSBS,FSBS,FIRST SOUTH BANCORP INC (SC)
CTBI,CTBI,Community Trust Bancorp, Inc.
KOP,KOP,Koppers Holdings Inc. Koppers H
LIFE,LIFE,aTyr Pharma, Inc.
HOT,HOT,Starwood Hotels & Resorts World
HOG,HOG,Harley-Davidson, Inc. Common St
HUBB,HUBB,Hubbell Inc Common Stock
CF,CF,CF Industries Holdings, Inc. Co
ZBH,ZBH,Zimmer Biomet Holdings, Inc. Co
AMTD,AMTD,TD Ameritrade Holding Corporati
FMC,FMC,FMC Corporation Common Stock
OSBC,OSBC,Old Second Bancorp, Inc.
FIBK,FIBK,First Interstate BancSystem, In
AOBI,AOBI,AMERICAN ORIENTL BIO
EVER,EVER,EverBank Financial Corp. Common
TMO,TMO,Thermo Fisher Scientific Inc Co
GBNK,GBNK,Guaranty Bancorp
ANR,ANR,Alpha Natural Resources, inc. c
DOLNRG,DOLN,NA
IBAZAZ,IBAZ,NA
SFY,S,NA
DESMET,DESM,NA
SOGAS,SOG,NA
MONTEC,MONT,NA
NSUS,NS,NA
TAM,T,NA
INTERF,INTE,NA
LIICA,LII,NA
WOORIB,WOOR,NA
HSBKKZ,HSBK,NA
BCOPAN,BCOP,NA
QBEAU,QBE,NA
SUGCRE,SUGC,NA
BKMOSC,BKMO,NA
PETRTT,PETR,NA
BLTAIJ,BLTA,NA
KZTGKZ,KZTG,NA
LIFUNG,LIFU,NA
IRCPAR,IRCP,NA
TRAGAS,TRAG,NA
RSHB,RS,NA
DELSOL,DELS,NA
FBOPCP,FBOP,NA
SFG,S,NA
TRACAP,TRAC,NA
FBLEAU,FBLE,NA
REDCRO,REDC,NA
TENGAT,TENG,NA
KFIRIL,KFIR,NA
NPNSJ,NPN,NA
AGFIRS,AGFI,NA
CFF,C,NA
SANCLE,SANC,NA
ALTAWH,ALTA,NA
ORLLUT,ORLL,NA
NTBBH,NTB,NA
MACKPW,MACK,NA
BWGRP,BWG,NA
DPWDU,DPW,NA
GRRIVE,GRRI,NA
PARHC,PAR,NA
STPETE,STPE,NA
LEAPWR,LEAP,NA
TECFP,TEC,NA
GMHMIL,GMHM,NA
PYXISL,PYXI,NA
BAYLIS,BAYL,NA
CHUBUT,CHUB,NA
BNSCN,BNS,NA
LPTT,LP,NA
MPRK,MP,NA
CCLY,CC,NA
TRICAH,TRIC,NA
GUEMES,GUEM,NA
FSLINV,FSLI,NA
SDFMHO,SDFM,NA
COUNTS,COUN,NA
BICBBZ,BICB,NA
NGPLCO,NGPL,NA
IMPSA,IMP,NA
GGBRBZ,GGBR,NA
USINV,USI,NA
INDDWN,INDD,NA
WGNB,WG,NA
CANTOR,CANT,NA
AXIATA,AXIA,NA
NOBLSP,NOBL,NA
EDPPL,EDP,NA
HARFUS,HARF,NA
BROWNU,BROW,NA
JHUNIV,JHUN,NA
MARSPE,MARS,NA
CLE,C,NA
PANOCH,PANO,NA
IFHBH,IFH,NA
CRNSTN,CRNS,NA
QI,NA,NA
VOSTOK,VOST,NA
TRIINT,TRII,NA
CMPCCI,CMPC,NA
MFLTD,MFL,NA
BARION,BARI,NA
RATAU,RAT,NA
BRADES,BRAD,NA
OAKCAM,OAKC,NA
ASPECT,ASPE,NA
EPGR,EP,NA
PSASP,PSA,NA
BAPHOS,BAPH,NA
VMED,VM,NA
NYUNIV,NYUN,NA
NOVANT,NOVA,NA
MBCT,MB,NA
IFC,I,NA
HENLND,HENL,NA
ALACN,ALA,NA
EVRAZ,EVR,NA
ATPG,AT,NA
RPINST,RPIN,NA
TACN,TA,NA
NOVNVX,NOVN,NA
TOTAL,TOT,NA
NACONV,NACO,NA
ENOGEX,ENOG,NA
BINTPE,BINT,NA
ESRGJ,ESR,NA
PSIINC,PSII,NA
JRCC,JR,NA
ICBCST,ICBC,NA
SIGMA,SIG,NA
NWIDE,NWI,NA
AGILE,AGI,NA
HKCGAS,HKCG,NA
TNEFT,TNE,NA
BTELIJ,BTEL,NA
TWI,TWI,Titan International, Inc. (DE) 
WYN,WYN,Wyndham Worldwide Corp Common  
GFF,GFF,Griffon Corporation Common Stoc
CSGS,CSGS,CSG Systems International, Inc.
CLF,CLF,Cliffs Natural Resources Inc Co
FNFG,FNFG,First Niagara Financial Group I
AXS,AXS,Axis Capital Holdings Limited C
AUBN,AUBN,Auburn National Bancorporation,
HT,HT,Hersha Hospitality Trust Class 
SKT,SKT,Tanger Factory Outlet Centers, 
DPS,DPS,Dr Pepper Snapple Group, Inc Dr
RBCAA,RBCAA,Republic Bancorp, Inc.
AMT,AMT,American Tower Corporation (REI
EQIX,EQIX,Equinix, Inc.
AFG,AFG,American Financial Group, Inc. 
ITSJF,ITSJF,ITSA LTD
PER,PER,SandRidge Permian Trust Common 
TFX,TFX,Teleflex Incorporated Common St
PQ,PQ,Petroquest Energy Inc Common St
FLOW,FLOW,SPX FLOW, Inc. Common Stock
IM,IM,Ingram Micro Inc. Common Stock
MCO,MCO,Moody's Corporation Common Stoc
CHH,CHH,Choice Hotels International, In
SNDK,SNDK,SanDisk Corporation
CLD,CLD,Cloud Peak Energy Inc Common St
CCE,CCE,Coca-Cola European Partners plc
XCO,XCO,EXCO Resources, Inc. Exco Resou
SYMC,SYMC,Symantec Corporation
FISV,FISV,Fiserv, Inc.
ETE,ETE,Energy Transfer Equity, L.P. En
WLL,WLL,Whiting Petroleum Corporation C
KKR,KKR,KKR & Co. L.P. Common Units Rep
BBEP,BBEP,Breitburn Energy Partners LP - 
MAT,MAT,Mattel, Inc.
NR,NR,Newpark Resources, Inc. Common 
HLS,HLS,HealthSouth Corporation Common 
SD,SD,SandRidge Energy, Inc. Common S
YORW,YORW,The York Water Company
CELG,CELG,Celgene Corporation
KRC,KRC,Kilroy Realty Corporation Commo
PPS,PPS,Post Properties, Inc. Common St
VSH,VSH,Vishay Intertechnology, Inc. Co
CLR,CLR,Continental Resources, Inc. Com
TMUS,TMUS,T-Mobile US, Inc.
RDN,RDN,Radian Group Inc. Common Stock
WSTC,WSTC,West Corporation
CVA,CVA,Covanta Holding Corporation Com
KAMN,KAMN,Kaman Corporation Common Stock
